date,title_sentiment,content_sentiment,description_sentiment
2024-04-06,0.589781746031746,0.5418863894343572,0.5598115079365079
2024-04-07,0.5012605042016807,0.5157217104105148,0.5096988795518208
2024-04-08,0.4921875,0.5233881068742051,0.554515625
2024-04-09,0.5483964646464646,0.5464485260450737,0.5468793044077135
2024-04-10,0.5114834570191713,0.558137264532363,0.5551303210678211
2024-04-11,0.5326073232323232,0.5621990256660854,0.5826020622895622
2024-04-12,0.5433823529411765,0.5253745804190346,0.5376313025210084
2024-04-13,0.532330747955748,0.5575115689341333,0.570247113997114
2024-04-14,0.5738095238095238,0.5260717586544972,0.5835565476190476
2024-04-15,0.5253255208333333,0.5279803264011365,0.5370957623106061
2024-04-16,0.68625,0.5531934054479597,0.6094209956709957
2024-04-17,0.506198347107438,0.5346295636970353,0.5426210153482881
2024-04-18,0.52084455667789,0.5254589499948632,0.5223943135054246
2024-04-19,0.5195035968933027,0.5382783461630711,0.5689639037433155
2024-04-20,0.5166233766233767,0.5611445093795094,0.5774684343434344
2024-04-21,0.5111111111111111,0.5818876507985785,0.5675
2024-04-22,0.526984126984127,0.519664492313923,0.5124149659863946
2024-04-23,0.5287878787878788,0.5420323142358369,0.5485795454545455
2024-04-24,0.5320601851851852,0.5811572384713362,0.6188537157287157
2024-04-25,0.5143582887700535,0.5413768060450225,0.5589705882352941
2024-04-26,0.5314078282828283,0.5388203630639968,0.5517613636363636
2024-04-27,0.550745980210266,0.5659232378767999,0.5636860795454546
2024-04-28,0.5046296296296297,0.5680399994701553,0.5764293981481481
2024-04-29,0.5282224958949097,0.5428395913848028,0.5418173421406179
2024-04-30,0.5169237012987014,0.5415777653587407,0.5493727775200989
2024-05-01,0.5031161616161617,0.5363762669900464,0.514164898989899
2024-05-02,0.5097004769921436,0.5379672620036141,0.5230914802789803
2024-05-03,0.5434121039944904,0.5633963605859935,0.5704651527449823
2024-05-04,0.524020618556701,0.5340343619219884,0.5388197698635844
2024-05-05,0.5427169421487603,0.5631129610377255,0.5688093306805428
2024-05-06,0.5002857522594365,0.5264556080337773,0.5173385167464115
2024-05-07,0.5260566448801743,0.5443269158546321,0.5259218409586057
2024-05-08,0.5281862745098039,0.5444454198389843,0.542602813852814
2024-05-09,0.51,0.5276582097264577,0.5106060606060606
